HomeTeam,AwayTeam,HomeFDR,AwayFDR
Arsenal,Coventry,2,5
Man City,Bournemouth,2,5
Brentford,Spurs,4,3
Brighton,Aston Villa,4,3
Fulham,Chelsea,4,2
Everton,Crystal Palace,2,3
Hull,Man Utd,4,2
Ipswich,Sunderland,2,2
Nott'm Forest,Leeds,2,3
Newcastle,Liverpool,5,3
Aston Villa,Arsenal,5,3
Bournemouth,Everton,3,2
Leeds,Brentford,3,2
Chelsea,Brighton,2,4
Coventry,Hull,2,2
Crystal Palace,Man City,5,2
Sunderland,Fulham,3,2
Man Utd,Ipswich,2,4
Liverpool,Nott'm Forest,2,5
Spurs,Newcastle,3,4
Arsenal,Chelsea,4,5
Hull,Aston Villa,4,2
Newcastle,Bournemouth,2,4
Brentford,Sunderland,2,3
Brighton,Leeds,2,3
Man City,Coventry,2,5
Fulham,Crystal Palace,2,3
Everton,Man Utd,4,3
Ipswich,Liverpool,5,2
Nott'm Forest,Spurs,4,3
Sunderland,Arsenal,5,2
Aston Villa,Nott'm Forest,3,4
Bournemouth,Brentford,3,2
Coventry,Brighton,3,2
Chelsea,Hull,2,5
Crystal Palace,Ipswich,2,2
Spurs,Everton,3,4
Liverpool,Fulham,2,5
Leeds,Newcastle,4,2
Man Utd,Man City,5,4
Brighton,Arsenal,5,3
Spurs,Aston Villa,4,4
Bournemouth,Liverpool,5,2
Brentford,Chelsea,4,3
Nott'm Forest,Coventry,2,3
Leeds,Crystal Palace,2,2
Everton,Ipswich,2,3
Fulham,Man Utd,4,3
Man City,Sunderland,2,5
Newcastle,Hull,2,4
Arsenal,Leeds,2,5
Aston Villa,Brentford,3,4
Chelsea,Bournemouth,2,4
Coventry,Newcastle,4,2
Crystal Palace,Nott'm Forest,3,2
Hull,Everton,3,2
Ipswich,Fulham,3,2
Liverpool,Man City,5,5
Man Utd,Spurs,3,4
Sunderland,Brighton,3,2
Nott'm Forest,Arsenal,5,3
Newcastle,Aston Villa,4,4
Bournemouth,Sunderland,2,2
Brentford,Liverpool,5,3
Brighton,Crystal Palace,2,3
Everton,Chelsea,4,3
Spurs,Coventry,2,4
Fulham,Hull,2,3
Leeds,Man Utd,4,2
Man City,Ipswich,2,5
Arsenal,Everton,2,5
Aston Villa,Man City,5,4
Man Utd,Bournemouth,2,4
Hull,Brentford,3,2
Liverpool,Brighton,3,5
Chelsea,Spurs,3,4
Coventry,Fulham,3,2
Crystal Palace,Newcastle,4,2
Ipswich,Nott'm Forest,3,2
Sunderland,Leeds,2,2
Liverpool,Arsenal,5,4
Aston Villa,Fulham,3,4
Bournemouth,Leeds,2,2
Brentford,Nott'm Forest,3,3
Chelsea,Man Utd,4,4
Coventry,Sunderland,2,2
Spurs,Crystal Palace,2,4
Newcastle,Everton,3,4
Hull,Ipswich,2,2
Man City,Brighton,3,5
Arsenal,Hull,2,5
Man Utd,Aston Villa,4,4
Ipswich,Bournemouth,2,2
Brighton,Brentford,3,3
Everton,Coventry,2,3
Crystal Palace,Liverpool,5,2
Fulham,Newcastle,4,3
Leeds,Spurs,4,2
Nott'm Forest,Man City,5,3
Sunderland,Chelsea,4,2
Newcastle,Arsenal,5,4
Aston Villa,Sunderland,2,4
Bournemouth,Nott'm Forest,3,2
Brentford,Everton,3,3
Chelsea,Leeds,2,4
Coventry,Crystal Palace,2,2
Man City,Fulham,3,5
Hull,Brighton,3,2
Liverpool,Man Utd,4,5
Spurs,Ipswich,2,4
Arsenal,Man City,4,5
Ipswich,Aston Villa,4,2
Fulham,Bournemouth,2,3
Man Utd,Brentford,3,4
Brighton,Newcastle,4,3
Nott'm Forest,Chelsea,4,3
Leeds,Coventry,2,2
Crystal Palace,Hull,2,2
Everton,Liverpool,5,3
Sunderland,Spurs,4,2
