,Lag,Snitt poeng,80% intervall,Gull %,Topp 4 %,Nedrykk %
1,Arsenal,82.9,75-91,70.5,98.9,0.0
2,Man City,74.6,66-83,11.8,90.6,0.0
3,Man Utd,73.9,66-82,11.5,89.5,0.0
4,Liverpool,70.8,62-80,5.8,75.3,0.0
5,Chelsea,62.5,54-71,0.4,23.4,0.0
6,Everton,55.5,46-65,0.0,7.1,1.0
7,Spurs,54.4,45-63,0.0,3.2,1.2
8,Aston Villa,53.1,44-63,0.0,3.2,3.5
9,Brighton,51.8,43-61,0.0,1.8,4.3
10,Bournemouth,51.8,42-61,0.0,1.9,3.3
11,Coventry,49.9,40-59,0.0,1.4,5.7
12,Newcastle,49.4,41-59,0.0,0.8,8.6
13,Fulham,49.2,40-59,0.0,0.9,8.1
14,Crystal Palace,47.3,38-57,0.0,0.7,12.8
15,Sunderland,46.8,38-56,0.0,0.5,11.7
16,Hull,45.3,36-54,0.0,0.6,16.5
17,Leeds,42.9,33-52,0.0,0.2,25.8
18,Nott'm Forest,41.2,33-50,0.0,0.0,38.9
19,Brentford,37.7,29-46,0.0,0.0,58.6
20,Ipswich,17.2,11-24,0.0,0.0,100.0
